Attraction,Park,Ride Characteristics,Description
Guardians of the Galaxy: Awesome Dance Off!,Disney California Adventure Park,"Character Experiences, Character Experiences, Live Entertainment","A girl dances with Star Lord, Gamora and other characters from Guardians of the Galaxy"
Halloween Screams,Disneyland Park,Fireworks,"Sparkles fly in the night by a large projected image of Maleficent, next to Sleeping Beauty Castle during Halloween Time at the Disneyland Resort"
Haunted Mansion,Disneyland Park,"Dark, Loud, Scary","At nighttime, a horse drawn carriage sits outside the Haunted Mansion at Disneyland Park in California"
Haunted Mansion Holiday,Disneyland Park,"Dark, Loud, Scary",Haunted Mansion Holiday with decorations inspired by Tim Burton’s The Nightmare Before Christmas
Holiday Décor,Multiple Locations,,
Holiday Fun with Santa & Friends!,Disneyland Park,,
Holiday Toy Drummers,Disney California Adventure Park,Live Entertainment,4 toy drummers in festive costumes and tall hats playing drums as they march on the street
Hurry Home – A Lunar New Year Celebration,Disney California Adventure Park,,"A projection of Mulan on a curtain of water spray at Hurry Home, A Lunar New Year Celebration"
Hyperspace Mountain,Disneyland Park,"Dark, Loud, Scary",
Incredicoaster,Disney California Adventure Park,"Big Drops, Loud, Thrill Rides",Excited Guests ride Incredicoaster
Indiana Jones™ Adventure,Disneyland Park,"Dark, Loud, Scary",A stone temple with snake statues at Indiana Jones Adventure
"""it's a small world""",Disneyland Park,"Loud, Slow Rides, Water Rides",The fanciful it’s a small world facade is full of whimsical detail
"""it's a small world"" Holiday",Disneyland Park,"Loud, Slow Rides, Water Rides",The Its a small world attraction at Disneyland park decorated for the holidays
"""it's a small world"" Holiday Lighting",Disneyland Park,,‘it’s a small world’ Holiday at Disneyland Park
Jazz Kitchen Music,Downtown Disney District,Live Entertainment,"Art depicting a 2 story building with large windows, a balcony and 2 signs reading ‘Beignets Expressed’ and ‘Jazz Kitchen’"
Jessie's Critter Carousel,Disney California Adventure Park,"Slow Rides, Spinning",A mother and her kids approach Jessie's Critter Carousel
Jumpin' Jellyfish,Disney California Adventure Park,Small Drops,"Beneath the whimsical Jumpin Jellyfish parachutes, Guests soar over Paradise Pier"
Jungle Cruise,Disneyland Park,"Loud, Slow Rides, Water Rides",A young princess points to something exciting while the skipper shares stories with Guests aboard a Jungle Cruise boat.
Key to Disneyland,Disneyland Park,,"A girl wearing a Disneyland 70th anniversary ear headband and her mother, both playing with a bubble blower near Sleeping Beauty Castle"
King Arthur Carrousel,Disneyland Park,"Loud, Slow Rides, Spinning",A happy boy rides a majestic horse on King Arthur Carrousel
The Little Mermaid - Ariel's Undersea Adventure,Disney California Adventure Park,"Dark, Loud, Slow Rides",An Audio-Animatronics figure of Ariel looks through a small treasure chest
Live Music at Disney California Adventure Food & Wine Festival,Disney California Adventure Park,Live Entertainment,"A stage with musical instruments and the words 'Disney California Adventure Food & Wine Festival,' with Pixar Pal A Round in the background"
Luigi's Joy to the Whirl,Disney California Adventure Park,"Loud, Spinning, Thrill Rides",Radiator Spring Street in Cars land decorated for the holidays at Disney California Adventure Park
Luigi's Rollickin' Roadsters,Disney California Adventure Park,"Loud, Spinning, Thrill Rides",A neon sign identifies Luigi's Casa Della Tires
Mad Tea Party,Disneyland Park,Spinning,A dad and his 2 young daughters laugh while riding the Mad Tea Party attraction
Main Street Cinema,Disneyland Park,Dark,Main Street Cinema marquee: Now Showing Steamboat Willie and Six Great Walt Disney Cartoons!
Main Street Vehicles,Disneyland Park,Slow Rides,A horse pulls an open streetcar full of Guests down Main Street U.S.A.
The Many Adventures of Winnie the Pooh,Disneyland Park,"Dark, Loud, Slow Rides",Pooh Bear floats with a balloon above Eeyore and Gopher while Guests travel in a giant honey pot
Mark Twain Riverboat,Disneyland Park,"Loud, Slow Rides, Water Rides",The stately Mark Twain Riverboat on the Rivers of America in Disneyland Park
Mater's Jingle Jamboree,Disney California Adventure Park,Spinning,Cars Land during the holidays at Disney California Adventure Park
Mater's Junkyard Jamboree,Disney California Adventure Park,Thrill Rides,A father and son hold on as their Maters Junkyard Jamboree tractor swings
Matterhorn Bobsleds,Disneyland Park,"Dark, Loud, Scary",A girl and her parents ride the 3-person Matterhorn Bobsleds vehicles
Meet Chef Goofy,Disney California Adventure Park,"Character Experiences, Live Entertainment",
Meet Disney Characters During Halloween Time at Disneyland Park,Disneyland Park,Character Experiences,An artist illustration of Mickey Mouse and Minnie Mouse wearing Halloween costumes
Meet Disney Pals on Buena Vista Street,Disney California Adventure Park,Character Experiences,
Meet Disney Princesses at Royal Hall,Disneyland Park,Character Experiences,"Surrounded by trees, turrets and shingles, a medieval sign reads Royal Hall, Greet the Princesses, on the buildings gable roof"
Meet Pixar Pals at Pixar Pier,Disney California Adventure Park,"Character Experiences, Live Entertainment",A family takes photos with the characters Joy and Sadness from the Disney and Pixar film Inside Out
Meet the Residents of Radiator Springs in Cars Land,Disney California Adventure Park,Character Experiences,
Meet Tinker Bell in Pixie Hollow,Disneyland Park,Character Experiences,Tinker Bell laughing
Mickey & Minnie's Runaway Railway,Disneyland Park,"Dark, Loud, Slow Rides","Hop on for an unpredictable adventure through an anything-can-happen, animated world."
Mickey's Mix Magic,Disneyland Park,,"Hearts and an image of Mickey Mouse and Minnie Mouse, projected onto Crystal Arcade"
Mickey's Mix Magic with Fireworks,Disneyland Park,Fireworks,Projected images of Mickey Mouse and Minnie Mouse on Crystal Arcade with fireworks in the background
Mickey's PhilharMagic,Disney California Adventure Park,,Mickey Mouse casts a spell that sends Donald Duck flying with an array of musical instruments
Millennium Falcon: Smugglers Run,Disneyland Park,"Dark, Loud, Small Drops",The cockpit of the Millennium Falcon
Minnie's House,Disneyland Park,Character Experiences,The outside of Minnie’s House in Mickey’s Toontown at Disneyland Park
Mirabel's Gifts of the Season,Disney California Adventure Park,Live Entertainment,
"Monsters, Inc. Mike & Sulley to the Rescue!",Disney California Adventure Park,"Dark, Loud, Slow Rides",
Mr. Toad's Wild Ride,Disneyland Park,"Dark, Loud, Scary",A motorcar waits at the entrance to Mr. Toad's Wild Ride in Disneyland Park
Mulan's Lunar New Year Procession,Disney California Adventure Park,"Character Experiences, Live Entertainment, Parades","Mulan, Mushu and Cast Members taking part in Mulan's Lunar New Year Procession at Disney California Adventure Park"
A Musical Christmas with Mariachi Alegría de Disneyland & Miguel!,Disney California Adventure Park,Live Entertainment,
Opera House,Disneyland Park,,"The façade and entrance of the Opera House on Main Street, USA at Disneyland Park"
Paint the Night,Disneyland Park,"Live Entertainment, Parades","Mack illuminated near Main Street, USA at the Paint the Night Parade"
Palisades Stage,Disney California Adventure Park,Live Entertainment,
Parades at the Disneyland Resort,Multiple Locations,Parades,"Mack illuminated near Main Street, USA at the Paint the Night Parade"
Paradise Garden Bandstand,Disney California Adventure Park,Live Entertainment,The Paradise Garden Bandstand at Disney California Adventure Park
Peter Pan's Flight,Disneyland Park,"Dark, Loud, Slow Rides",
Pinocchio's Daring Journey,Disneyland Park,"Dark, Loud, Scary",The outside of Pinocchioâ?s Daring Journey attraction at Disneyland park is styled like a storybook house with 2 stone columns on either side of an entranceway and an ornately carved balcony above it that resembles a marionette stage where a figure of Pinocchio is posed
Pirate's Lair on Tom Sawyer Island,Disneyland Park,,
Pixar Pal-A-Round - Swinging,Disney California Adventure Park,Small Drops,
Pixar Pal-A-Round – Non-Swinging,Disney California Adventure Park,Slow Rides,The Pixar Pal A Round attraction at Pixar Pier in Disney California Adventure Park
Radiator Springs Racers,Disney California Adventure Park,"Dark, Loud, Small Drops",A mother and son take a tight turn on the Radiator Springs Racers track
Redwood Creek Challenge Trail,Disney California Adventure Park,,A mother helps her kid climb a rock to reach the Finish sign on the Redwood Creek Challenge Trail
Roger Rabbit's Car Toon Spin,Disneyland Park,"Dark, Loud, Slow Rides",Wacky entrance to Roger Rabbit's Car Toon Spin attraction at Disneyland Park
Sailing Ship Columbia,Disneyland Park,"Loud, Slow Rides, Water Rides",Sailing Ship Columbia in the Rivers of America waters
Shadows of Memory: A Skywalker Saga,Disneyland Park,,The Millennium Falcon in front of the spires of Batuu in Star Wars Galaxy's Edge at the Disneyland Resort at nighttime
Sleeping Beauty Castle Walkthrough,Disneyland Park,Dark,"Surrounded by water, Sleeping Beauty Castle features a flag lined bridge leading up to its entrance"
Snow White's Enchanted Wish,Disneyland Park,"Dark, Loud, Slow Rides",Dopey the Dwarf waves hello from behind a mining car filled with gems in the Snow White’s Enchanted Wish attraction at Disneyland Park in California
Soarin' Around the World,Disney California Adventure Park,"Dark, Loud, Slow Rides",FPO
Soarin' Over California,Disney California Adventure Park,"Dark, Loud, Small Drops","A teenager enjoying Soarin' Over California, with the legs of other Guests dangling above him"
Sorcerer's Workshop,Disney California Adventure Park,Dark,Many lamps hang from the Sorcerer's Workshop ceiling
Space Mountain,Disneyland Park,"Dark, Loud, Scary",Hold on tight for a thrilling ride through Space Mountain!
Special MagicBand+ Interactions During the 70th Celebration,Disneyland Park,,A Guest wearing a Disneyland Resort 70th Celebration Magic Band Plus
Splitsville Luxury Lanes™ – Bowling,Downtown Disney District,,A woman bowling at Splitsville Luxury Lanes
Star Tours - The Adventures Continue,Disneyland Park,"Dark, Loud, Small Drops","As night falls, the illuminated entrance sign for Star Tours The Adventures Continue welcomes Guests"
Star Wars: Batuu Bounty Hunters,,,(no additional data in source)
Star Wars: Datapad on Play Disney Parks Mobile App,Disneyland Park,,
Star Wars: Rise of the Resistance,Disneyland Park,"Dark, Loud, Scary",People in a transport vehicle inside a hanger bay look up at 2 towering AT-AT walkers
Storybook Land Canal Boats,Disneyland Park,"Slow Rides, Water Rides",A Storybook Land Canal Boat full of Guests drifts gently past miniature villages
The Storytellers of Plaza de la Familia Celebrate The Musical World of Coco!,Disney California Adventure Park,Live Entertainment,People performing in The Storytellers of Plaza de la Familia Celebrate The Musical World of Coco! show
Storytelling at Royal Theatre,Disneyland Park,"Character Experiences, Live Entertainment",The medieval-style entrance to the Fantasy Faire Royal Theater in Disneyland
Tapestry of Happiness,Disneyland Park,,Illuminations projected onto the façade of ‘it’s a small world’ during the Tapestry of Happiness nighttime show
Tiana's Bayou Adventure,Disneyland Park,"Big Drops, Thrill Rides, Water Rides",
Together Forever - A Pixar Nighttime Spectacular,Disneyland Park,Fireworks,Fireworks and a dazzling projection of Coco on Sleeping Beauty Castle during the Together Forever a Pixar Nighttime Spectacular at Disneyland
Toy Story Midway Mania!,Disney California Adventure Park,"Dark, Loud",
Turtle Talk with Crush,Disney California Adventure Park,"Character Experiences, Dark",Young Guests and the turtle from the Disney Pixar film Finding Nemo enjoy a conversation
Walt Disney - A Magical Life,Disneyland Park,Dark,"Walt Disney speaking to Guests from his office at Walt Disney, A Magical Life"
Walt Disney's Enchanted Tiki Room,Disneyland Park,"Dark, Loud, Stage Shows",Audio-Animatronics figure of a singing parrot named Pierre at Walt Disney's Enchanted Tiki Room
WEB SLINGERS: A Spider-Man Adventure,Disney California Adventure Park,"Dark, Loud, Spinning",The exterior of WEB SLINGERS A Spider Man Adventure at night
Wintertime Enchantment at Sleeping Beauty's Winter Castle,Disneyland Park,,The façade of Sleeping Beauty Castle decorated with icicle lights and illuminated at night
Wondrous Journeys,Disneyland Park,Fireworks,Sleeping Beauty Castle illuminated with a projection of Peter Pan while fireworks burst above during the Wondrous Journeys nighttime show
World of Color - Season of Light,Disney California Adventure Park,,"The fountains, lasers and projections at the World of Color nighttime spectacular light up the night sky"
World of Color Happiness!,Disney California Adventure Park,,Joy from Inside Out illuminated on the spray from fountains during the World of Color Happiness nighttime show
Buzz Lightyear Astro Blasters,Disneyland Park,"Dark, Loud, Slow Rides",
Inside Out Emotional Whirlwind,Disney California Adventure Park,Spinning,A mother and daughter enjoying their turn at the Inside Out Emotional Whirlwind attraction at Pixar Pier in Disney California Adventure Park
Pirates of the Caribbean,Disneyland Park,"Dark, Loud, Scary",Three pirates in a jail cell trying to lure a dog with a key at Pirates of the Caribbean
Silly Symphony Swings,Disney California Adventure Park,Spinning,
